company_id,company_name,cash_flow_date,fiscal_year,period_label,period,version,revenue,net_sales,net_sales_local,net_sales_at_entry,net_sales_at_entry_local,adj_ebitda,ltm_adj_ebitda,ebitda,ltm_ebitda_actual,ltm_ebitda_actual_local,ltm_ebitda_at_entry,ltm_ebitda_at_entry_local,ltm_credit_agreement_ebitda,ltm_free_cash_flow,ltm_capex,ltm_cash_interest,ltm_cash_taxes,ltm_change_nwc,ltm_principal_payments,cash,net_debt,net_debt_local,net_debt_at_entry,net_debt_at_entry_local,net_debt_credit_agreement,total_gross_debt,floating_rate_debt,fixed_rate_debt,pik_debt,senior_secured_debt,other_debt,net_leverage,net_leverage_at_entry,gross_leverage,total_net_leverage,senior_secured_leverage,interest_coverage,debt_service_coverage,tev,tev_local,tev_at_entry,tev_at_entry_local,tev_to_ebitda,tev_to_ebitda_at_entry,tev_to_revenue,tev_to_revenue_at_entry,gross_irr,gross_moi,total_cost,unrealized_value,realized_proceeds,total_value,fund_current_ownership,fund_ownership_at_entry,tsg_current_ownership,tsg_ownership_at_entry,adj_ebitda_margin_pct,ebitda_margin_pct,gross_margin_pct,gross_profit,ltm_revenue
82b0aba4-8b3c-4ce0-a864-d3ae055a7974,Core Power,2020-12-31,2020,2020,Annual,Actual,,,,150.334701,,,,,,,,,,,,,,,,,180.52409,,175.0,,,,177.673006,,,,,,,,,,,,506.52117,,,,,15.768573,,,,0.456957,,204.45559,0.0,204.45559,,,,,,,,,
82b0aba4-8b3c-4ce0-a864-d3ae055a7974,Core Power,2021-12-31,2021,2021,Annual,Actual,,,,150.334701,,,,-28.882314,-28.882314,,,,,,,,,,,,195.7,,175.0,,,,183.901506,,,,,,,,,,,,463.028725,,,,-16.031566,15.768573,,,,0.336588,,147.406481,0.0,147.406481,0.850196,0.924126,,,,,,,
82b0aba4-8b3c-4ce0-a864-d3ae055a7974,Core Power,2022-12-31,2022,2022,Annual,Actual,,,,150.334701,,,,-6.398176,-6.398176,,,,,,,,,,,,224.638963,,175.0,,,,233.426387,,,,,,,,,,,,250.921511,,,,,15.768573,,,,0.083174,,36.425352,0.0,36.425352,0.766046,0.924126,,,,,,,
82b0aba4-8b3c-4ce0-a864-d3ae055a7974,Core Power,2023-12-31,2023,2023,Annual,Actual,,,,150.334701,,,,25.6076,25.6076,,,,,,6.740208,21.571927,0.0,0.473749,,,236.390131,,175.0,,,242.794035,242.794035,,0.0,,0.0,,,8.402282,8.180665,8.402282,,0.707661,480.521967,,,,18.764819,15.768573,,,,0.082847,,36.4,0.0,36.4,0.766046,0.924126,,,,,,,
82b0aba4-8b3c-4ce0-a864-d3ae055a7974,Core Power,2024-12-31,2024,2024,Annual,Actual,,,,150.334701,,,,36.911569,36.911569,,,,,,11.445,24.888546,0.412603,0.488,,,243.957435,,175.0,,,250.388834,250.388834,,0.0,,0.0,,,5.866125,5.715449,5.866125,,0.868498,566.5,,,,15.347492,15.768573,,,,0.2,,101.0,0.0,100.7,0.766046,0.924126,,,,,,,
82b0aba4-8b3c-4ce0-a864-d3ae055a7974,Core Power,2025-12-31,2025,2025,Annual,Actual,,,,152.497422,,,,56.514639,56.514639,,,,,,19.009,22.847847,0.174949,1.767,,,232.753,,175.0,,,244.188,264.437959,,0.0,,0.0,,,4.112445,3.919864,4.112445,,1.646659,847.719592,,,,15.0,16.793575,,,,0.7,,302.0,0.0,302.0,0.766046,0.924126,,,,,,,
632efd6e-0a60-468f-815c-7a6e2a0c5ebf,Endeavor,2021-06-30,2021,2021,Annual,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632efd6e-0a60-468f-815c-7a6e2a0c5ebf,Endeavor,2022-12-31,2022,2022,Annual,Actual,,,,,,,,,,,,,,,,11.187039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632efd6e-0a60-468f-815c-7a6e2a0c5ebf,Endeavor,2023-12-31,2023,2023,Annual,Actual,,,,228.575,,,,37.670056,37.670056,,,,,,9.072,24.851576,0.334848,7.041563,,,225.329736,,165.0,,,266.357283,265.748963,,0.0,,0.60832,,,5.807945,5.262818,5.794681,,0.998216,635.078416,,,,16.858972,16.086589,,,,1.0,,309.026,0.0,309.026,0.752728,0.936135,,,,,,,
632efd6e-0a60-468f-815c-7a6e2a0c5ebf,Endeavor,2024-12-31,2024,2024,Annual,Actual,,,,228.575,,,,34.124437,34.124437,,,,,,8.060797,33.291072,0.479809,-9.370959,,,271.054435,,165.0,,,273.598646,272.584813,,0.0,,1.013833,,,6.886917,6.82288,6.861397,,0.702566,679.10698,,,,19.900899,16.086589,,,,1.0,,309.0,0.0,309.0,0.752728,0.936135,,,,,,,
632efd6e-0a60-468f-815c-7a6e2a0c5ebf,Endeavor,2025-09-30,2025,2025,Annual,Actual,,,,228.575,,,,33.118,33.118,,,,,,9.877,33.746,0.0,-5.324,,,293.408,,165.0,,,295.241607,295.241607,,0.0,,0.0,,,9.059548,9.00327,9.059548,,0.747732,562.0,,,,16.969624,16.086589,,,,0.9,,269.0,0.0,269.0,0.752728,0.936135,,,,,,,
be228c9c-7f0a-416b-a963-7c7e132cfd11,Hempz,2020-12-31,2020,2020,Annual,Actual,,,,51.164131,,,,26918.647499,26918.647499,,,,,,,,,,,,7.968762,,20.0,,,,,,,,,,,,,,,,208.075959,,,,0.00773,13.122412,,,,2.295332,,116.099119,4.900107,120.999226,,,,,,,,,
be228c9c-7f0a-416b-a963-7c7e132cfd11,Hempz,2021-12-31,2021,2021,Annual,Actual,,,,51.164131,,,,16.593876,16.593876,,,,,,,,,,,,0.105889,,20.0,,,,,,,,,,,,,,,,215.720394,,,,13.0,13.122412,,,,2.478152,,126.536889,4.900107,131.436996,0.0,0.615,,,,,,,
